trip_id,medallion_id,driver_name,driver_experience_years,vendor_name,vehicle_type,pickup_datetime,dropoff_datetime,trip_duration,pickup_latitude,pickup_longitude,dropoff_latitude,dropoff_longitude,trip_distance,pickup_borough,dropoff_borough,passenger_count,rate_code,payment_type,store_and_fwd_flag,weather_condition,temperature_f,precipitation_in,wind_speed_mph,traffic_index,is_holiday,tolls_amount,extra_surcharge,mta_tax,improvement_surcharge,congestion_surcharge,tip_amount,total_amount,trip_rating,fare_amount
NYC-2023-401266,8982-E29,Driver 798,3.9,CMT,SUV,2023-12-22 23:57:00,2023-12-23 00:14:00,17m,40.753889,-73.917385,40.763837,-73.995657,9.32,Queens,Manhattan,1.0,,CSH,N,Clear,26.0,0.0,2.9,3.2,0,0.0,1.0,0.5,0.3,2.5,0.0,$31.46,4.0,27.16
NYC-2023-403199,3376-E53,Driver 773,2.0,CMT,Hybrid,2023-10-08 09:48:00,2023-10-08 10:12:00,24m,40.705678,-74.009,40.816645,-73.954736,11.15,Manhattan,Manhattan,,1,Cash,N,Clear,47.0,,5.7,,0,0.0,0.0,0.5,0.3,2.5,0.0,$48.87,5.0,45.57
NYC-2023-401082,4650-A92,Driver 240,5.1,CMT,Sedan,2023-07-03 01:23:00,2023-07-03 01:52:00,29m,40.780978,-73.991945,40.777989,-73.863845,10.22,Manhattan,Queens,3.0,1,Credit Card,N,Clear,74.0,0.0,8.7,,0,0.0,1.0,0.5,0.3,2.5,7.07,$56.03,4.0,44.66
NYC-2023-402181,6714-G97,Driver 1615,11.9,VTS,Sedan,2023-08-14 23:45:00,2023-08-15 00:03:00,18m,40.756117,-73.99839,40.694559,-73.955995,5.9,Manhattan,Brooklyn,1.0,1,Credit Card,N,Clear,76.0,0.0,4.7,6.6,0,6.86,1.0,0.5,0.3,2.5,6.16,$43.56,5.0,26.24
NYC-2023-404825,1762-F83,Driver 784,8.0,Verifone,Sedan,2023-12-09 17:56:00,2023-12-09 18:41:00,45m,40.822717,-73.903691,40.645444,-73.76356,16.95,Bronx,Queens,1.0,1,Credit Card,Y,Clear,58.0,0.0,6.2,5.4,0,0.0,0.0,0.5,0.3,2.5,8.91,$77.43,4.0,65.22
NYC-2023-404621,9971-D51,Driver 1718,5.9,VTS,Minivan,2023-05-05 14:35:00,2023-05-05 14:57:00,22m,40.747397,-73.900982,40.764089,-73.821261,6.21,Queens,Queens,1.0,1,CRD,N,Clear,43.0,0.0,9.6,5.6,0,0.0,0.0,0.5,0.3,2.5,9.55,$44.44,5.0,31.59
NYC-2023-401013,3447-H41,Driver 1065,29.3,CMT,Sedan,2023-07-11 03:52:00,2023-07-11 04:05:00,13m,40.783526,-73.885415,40.762012,-73.948597,4.37,Queens,Manhattan,1.0,,Credit Card,N,Clear,75.0,0.0,3.4,3.6,0,0.0,1.0,0.5,0.3,2.5,6.22,$33.08,4.0,22.56
NYC-2023-404329,7669-B10,Driver 181,6.7,CMT,SUV,2023-05-14 21:05:00,2023-05-14 21:13:00,8m,40.778865,-73.962706,40.762184,-73.98033,3.4,Manhattan,Manhattan,5.0,,Credit Card,N,Rain,42.0,1.15,1.4,6.7,0,0.0,1.0,0.5,0.3,2.5,2.65,$18.61,4.0,11.66
NYC-2023-404624,3145-C24,Driver 1457,7.8,CMT,Sedan,2023-08-24 08:10:00,2023-08-24 09:11:00,1h 1m,40.651946,-73.781836,40.767025,-73.957946,16.41,Queens,Manhattan,1.0,,Credit Card,N,Clear,68.0,0.0,2.4,7.7,0,0.0,2.5,0.5,0.3,2.5,16.41,$83.68,4.0,61.47
NYC-2023-402490,5509-B80,Driver 1536,27.6,VTS,Hybrid,2023-04-08 09:45:00,2023-04-08 10:26:00,41m,40.651218,-73.770309,40.784871,-73.862534,24.77,Queens,Queens,1.0,1,CRD,N,Rain,55.0,0.31,8.4,4.1,0,0.0,0.0,0.5,0.3,2.5,16.65,$77.81,3.0,57.86
NYC-2023-400148,3424-E22,Driver 1375,6.2,VTS,Sedan,2023-09-04 16:12:00,2023-09-04 16:37:00,25m,40.748205,-73.98178,40.694355,-73.998919,4.66,Manhattan,Manhattan,2.0,1,CSH,N,Clear,53.0,0.0,14.1,9.0,1,0.0,2.5,0.5,0.3,2.5,0.0,$33.02,3.0,27.22
NYC-2023-403806,4043-B84,Driver 1148,21.6,VTS,SUV,2023-07-23 20:28:00,2023-07-23 20:54:00,26m,40.770887,-73.977825,40.70617,-73.990049,0.0,Manhattan,Brooklyn,1.0,1,CRD,N,Rain,92.0,0.15,3.6,4.5,0,0.0,1.0,0.5,0.3,2.5,9.96,$46.96,4.0,32.7
NYC-2023-403153,6384-E39,Driver 517,0.3,CMT,Hybrid,2023-10-25 13:15:00,2023-10-25 13:38:00,23m,40.739349,-73.98908,40.78467,-73.964532,4.79,Manhattan,Manhattan,1.0,,Credit Card,N,Fog,38.0,0.77,7.8,6.5,0,2.84,0.0,0.5,0.3,2.5,6.87,$44.18,5.0,31.17
NYC-2023-401672,9526-C85,Driver 1519,3.6,VTS,Hybrid,2023-06-08 04:10:00,2023-06-08 04:39:00,29m,40.646958,-73.784984,40.766837,-73.833373,20.39,Queens,Queens,1.0,1,Cash,N,Clear,71.0,0.0,15.1,3.6,0,5.18,1.0,0.5,0.3,2.5,0.0,$54.11,4.0,44.63
NYC-2023-403122,6230-G89,Driver 502,10.3,VTS,Sedan,2023-05-19 13:56:00,2023-05-19 14:42:00,46m,40.582332,-74.139012,40.760727,-73.976566,19.52,Staten Island,Manhattan,2.0,,Credit Card,N,Clear,44.0,0.0,7.5,4.4,0,8.09,0.0,0.5,0.3,2.5,45.89,$208.71,3.0,151.43
NYC-2023-403056,4628-H62,Driver 477,8.8,VTS,Minivan,2023-10-27 12:36:00,2023-10-27 12:49:00,13m,40.714286,-73.997069,40.680847,-74.001389,3.56,Manhattan,Brooklyn,1.0,1,Credit Card,N,Clear,52.0,0.0,4.7,5.7,0,0.0,0.0,0.5,0.3,2.5,5.28,$26.71,5.0,18.13
NYC-2023-402063,3955-A12,Driver 1793,4.4,VTS,SUV,2023-03-14 16:54:00,2023-03-14 17:34:00,40m,40.778565,-73.947169,40.705062,-74.019371,7.96,Manhattan,Manhattan,1.0,1,Credit Card,N,Clear,52.0,0.0,7.2,10.0,0,0.0,2.5,0.5,0.3,,11.31,$59.16,4.0,44.55
NYC-2023-401272,7903-E58,Driver 540,2.3,CMT,Minivan,2023-08-13 22:58:00,2023-08-13 23:26:00,28m,40.76524,-73.978023,40.688615,-73.981648,7.38,Manhattan,Brooklyn,3.0,,CRD,N,Rain,89.0,0.1,7.5,4.7,0,0.0,1.0,0.5,0.3,2.5,5.58,$46.91,5.0,37.03
NYC-2023-400677,2182-A24,Driver 1324,2.1,VTS,Hybrid,2023-09-29 08:20:00,2023-09-29 08:36:00,16m,40.741647,-73.98303,40.769063,-73.977829,4.49,Manhattan,Manhattan,1.0,1,Cash,N,Clear,73.0,0.0,5.6,10.0,0,3.18,2.5,0.5,0.3,2.5,0.0,$26.57,5.0,17.59
NYC-2023-402968,6714-G55,Driver 177,7.8,VTS,Sedan,2023-09-22 18:41:00,2023-09-22 19:11:00,30m,40.745809,-73.984664,40.776344,-73.885868,7.15,Manhattan,Queens,1.0,1,Credit Card,N,Clear,47.0,0.0,4.6,8.1,0,6.25,2.5,0.5,0.3,2.5,5.55,$54.23,4.0,36.63
NYC-2023-404023,2538-F73,Driver 764,13.4,VTS,Sedan,2023-11-30 23:29:00,2023-12-01 00:14:00,45m,40.695656,-74.157371,40.721978,-73.961495,14.15,New Jersey,Brooklyn,3.0,,Credit Card,N,Clear,51.0,0.0,11.8,4.7,0,14.74,1.0,0.5,0.3,2.5,24.88,$131.07,5.0,87.15
NYC-2023-402688,7010-C88,Driver 921,11.5,CMT,Hybrid,2023-03-13 19:17:00,2023-03-13 20:49:00,1h 32m,40.704331,-74.014048,40.644728,-73.776315,17.65,Manhattan,Queens,1.0,2,Credit Card,N,Clear,68.0,0.0,6.6,10.0,0,0.0,2.5,0.5,0.3,,9.2,$83.73,4.0,71.23
NYC-2023-400805,5920-G78,Driver 1410,3.4,cmt,SUV,2023-05-21 09:45:00,2023-05-21 10:07:00,22m,40.768359,-73.94371,40.838407,-73.904721,7.45,Manhattan,Bronx,2.0,1,Credit Card,N,Clear,66.0,0.0,17.9,4.5,0,0.0,0.0,0.5,0.3,2.5,4.77,$40.54,5.0,32.47
NYC-2023-403826,1194-G91,Driver 1357,7.0,VTS,Sedan,2023-05-11 09:00:00,2023-05-11 09:35:00,35m,40.718085,-73.990055,40.769621,-73.908745,7.7,Brooklyn,Queens,1.0,1,Credit Card,N,Clear,58.0,0.0,4.5,7.4,0,0.0,2.5,0.5,0.3,2.5,0.0,$42.70,4.0,36.9
NYC-2023-403354,9887-A97,Driver 1145,11.2,VTS,Sedan,2023-06-18 05:29:00,2023-06-18 05:47:00,18m,40.763931,-73.992566,40.823184,-73.967303,5.69,Manhattan,Manhattan,1.0,Standard Rate,Credit Card,Y,Clear,85.0,0.0,11.2,5.3,0,0.0,1.0,0.5,0.3,2.5,3.01,$30.08,5.0,22.77
NYC-2023-401894,4785-A68,Driver 1734,9.7,CMT,SUV,2023-10-14 06:41:00,2023-10-14 07:34:00,53m,40.652388,-73.779242,40.689165,-74.001686,15.19,Queens,Brooklyn,1.0,,CRD,N,Rain,60.0,0.12,28.3,6.7,0,0.0,0.0,0.5,0.3,2.5,11.26,$76.05,5.0,61.49
NYC-2023-404788,1979-D32,Driver 1262,2.2,VTS,Hybrid,2023-07-12 17:42:00,2023-07-12 18:13:00,31m,40.704545,-74.012029,40.772737,-73.96525,6.72,Manhattan,Manhattan,1.0,,CSH,Y,Clear,69.0,0.0,7.3,8.1,0,0.0,2.5,0.5,0.3,2.5,0.0,$45.52,3.0,39.72
NYC-2023-400234,6453-E34,Driver 62,7.0,VTS,SUV,2023-02-20 05:41:00,2023-02-20 06:03:00,22m,40.765661,-73.967676,40.70562,-74.027841,7.44,Manhattan,Manhattan,1.0,1,Cash,N,Clear,46.0,0.0,11.3,3.3,1,0.0,1.0,0.5,0.3,,0.0,$32.52,5.0,30.72
NYC-2023-400299,7302-H92,Driver 816,2.0,VTS,Sedan,2023-09-29 15:49:00,2023-09-29 16:03:00,14m,40.774273,-73.929846,40.79329,-73.861159,4.74,Queens,Queens,1.0,1,Cash,N,Clear,53.0,0.0,5.2,5.4,0,0.0,0.0,0.5,0.3,2.5,0.0,$22.25,5.0,18.95
NYC-2023-401205,7355-C41,Driver 1487,4.8,VTS,Sedan,2023-01-20 16:43:00,2023-01-20 17:32:00,49m,40.75403,-73.971868,40.817732,-73.908807,7.52,Manhattan,Bronx,1.0,1,Cash,N,Clear,31.0,0.0,9.1,8.2,0,0.0,2.5,0.5,0.3,,0.0,$48.58,5.0,45.28
NYC-2023-404968,2023-D89,Driver 1059,4.3,CMT,Minivan,14/10/2023 07:12,2023-10-14 07:33:00,21m,40.789164,-73.950916,40.763324,-73.870743,6.35,Manhattan,Queens,1.0,1,CRD,N,Clear,53.0,0.0,7.0,3.3,0,0.0,0.0,0.5,0.3,2.5,3.93,$39.58,5.0,32.35
NYC-2023-402784,9326-C65,Driver 1051,10.5,CMT,Hybrid,2023-05-17 18:56:00,2023-05-17 19:18:00,22m,40.709393,-73.953902,40.761734,-73.911874,5.11,Brooklyn,Queens,1.0,Standard Rate,Credit Card,N,Clear,24.0,0.0,2.2,7.0,0,5.21,2.5,0.5,0.3,2.5,5.06,$42.90,4.0,26.83
NYC-2023-403614,8988-H28,Driver 778,5.9,CMT,Sedan,2023-02-28 13:40:00,2023-02-28 14:01:00,21m,40.790571,-73.955495,40.740926,-73.980246,5.12,Manhattan,Manhattan,,,Credit Card,N,Clear,39.0,0.0,16.7,5.3,0,0.0,0.0,0.5,0.3,,3.68,$27.92,5.0,23.44
NYC-2023-404516,6314-G90,Driver 1671,13.6,CMT,Sedan,2023-09-28 01:20:00,2023-09-28 01:58:00,38m,40.768812,-73.991407,40.705806,-74.188927,13.42,Manhattan,New Jersey,1.0,,CRD,N,Rain,36.0,0.47,21.7,4.4,0,14.68,1.0,0.5,0.3,2.5,15.79,$116.52,4.0,81.75
NYC-2023-400976,2004-B44,Driver 439,4.0,CMT,Hybrid,2023-06-24 19:27:00,2023-06-24 19:45:00,18m,40.768305,-73.958779,40.694067,-73.995798,6.56,Manhattan,Brooklyn,2.0,,CRD,,Fog,87.0,0.02,5.5,3.3,0,0.0,0.0,0.5,0.3,2.5,3.65,$38.23,4.0,31.28
NYC-2023-403388,4878-A70,Driver 801,5.1,cmt,Sedan,2023-09-29 01:39:00,2023-09-29 01:42:00,3m,40.712379,-74.003588,40.700048,-74.000125,1.33,Manhattan,Brooklyn,1.0,,Credit Card,N,Clear,97.0,0.0,4.3,3.1,0,0.0,1.0,0.5,0.3,2.5,1.89,$15.67,5.0,9.48
NYC-2023-401180,8592-G94,Driver 573,26.9,VTS,Sedan,2023-04-01 09:14:00,2023-04-01 09:47:00,33m,40.676471,-74.007671,40.779087,-73.942511,11.97,Brooklyn,Manhattan,1.0,Standard Rate,CRD,N,Clear,59.0,0.0,8.2,5.6,0,5.93,0.0,0.5,0.3,2.5,5.92,$63.85,5.0,48.7
NYC-2023-403774,4953-A21,Driver 235,8.4,CMT,Sedan,2023-01-25 13:07:00,2023-01-25 13:16:00,9m,40.761576,-73.963798,40.745054,-73.919447,3.44,Manhattan,Queens,0.0,,Credit Card,N,Clear,34.0,0.0,11.4,5.7,0,0.0,0.0,0.5,0.3,,2.72,$18.89,4.0,15.37
NYC-2023-402792,3891-C69,Driver 1208,2.3,Verifone,Sedan,2023-02-08 20:14:00,2023-02-08 20:52:00,38m,40.708477,-74.010362,40.834065,-73.902683,24.46,Manhattan,Bronx,1.0,,Cash,N,,36.0,0.0,8.0,2.5,0,0.0,1.0,0.5,0.3,,0.0,$60.68,4.0,58.88
NYC-2023-400064,7622-F98,Driver 1594,2.2,Verifone,SUV,2023-11-01 07:08:00,2023-11-01 08:09:00,1h 1m,40.83415,-73.899733,40.700898,-73.966227,13.92,Bronx,Brooklyn,1.0,1,Cash,Y,Rain,54.0,0.16,12.2,8.9,0,0.0,2.5,0.5,0.3,2.5,0.0,$61.93,4.0,56.13
NYC-2023-400229,7707-D84,Driver 376,3.4,cmt,SUV,2023-06-11 23:26:00,2023-06-11 23:49:00,23m,40.692851,-73.952806,40.700039,-74.024356,5.0,Brooklyn,Manhattan,1.0,1,CRD,Y,Rain,75.0,0.51,8.3,6.6,0,0.0,1.0,0.5,0.3,2.5,4.1,$31.18,5.0,22.78
NYC-2023-404167,5218-B65,Driver 1237,1.5,CMT,SUV,2023-01-29 03:25:00,2023-01-29 04:00:00,35m,40.758058,-73.820649,40.714486,-74.018574,16.0,Queens,Manhattan,1.0,Standard Rate,Cash,N,Rain,27.0,0.57,7.3,1.9,0,0.0,1.0,0.5,0.3,,0.0,$69.34,3.0,67.54
NYC-2023-400619,4670-G16,Driver 1665,10.2,VTS,Hybrid,2023-01-01 19:24:00,2023-01-01 20:11:00,47m,40.682883,-74.000297,40.764591,-73.826328,16.39,Brooklyn,Queens,1.0,1,Cash,N,Snow,49.0,0.22,14.8,6.8,1,0.0,0.0,0.5,0.3,,0.0,$74.12,4.0,73.32
NYC-2023-403867,8807-D49,Driver 1065,3.5,VTS,Sedan,2023-08-01 17:51:00,2023-08-01 18:18:00,27m,40.750772,-73.949715,40.828401,-73.910853,6.83,Manhattan,Bronx,1.0,1,Credit Card,N,Rain,87.0,0.53,13.7,7.9,0,0.0,2.5,0.5,0.3,2.5,6.41,$46.34,5.0,34.13
NYC-2023-400067,8660-C25,Driver 497,1.6,CMT,Minivan,2023-08-03 13:56:00,2023-08-03 14:09:00,13m,40.6847,-73.970006,40.712189,-73.999926,3.49,Brooklyn,Manhattan,1.0,1,Credit Card,N,Clear,78.0,0.0,19.4,4.4,0,6.59,0.0,0.5,0.3,2.5,0.0,$28.87,3.0,18.98
NYC-2023-402703,3410-F24,Driver 4,10.1,CMT,SUV,2023-10-31 07:44:00,2023-10-31 08:03:00,19m,40.78286,-73.955565,40.744199,-73.973665,6.81,Manhattan,Manhattan,1.0,,CRD,N,Clear,62.0,0.0,9.9,8.0,0,0.0,2.5,0.5,0.3,2.5,3.22,$31.37,3.0,22.35
NYC-2023-404239,1342-F73,Driver 253,10.0,VTS,Sedan,04/08/2023 00:18,2023-08-04 00:42:00,24m,40.764887,-73.983479,40.824587,-73.909514,11.01,Manhattan,Bronx,1.0,,CSH,N,Clear,70.0,0.0,4.2,4.3,0,0.0,1.0,0.5,0.3,2.5,0.0,$35.01,4.0,30.71
NYC-2023-404184,5510-B59,Driver 2,13.1,VTS,Sedan,2023-06-17 21:49:00,2023-06-17 22:32:00,43m,40.743157,-73.831207,40.750511,-73.989441,19.54,Queens,Manhattan,3.0,1,Credit Card,N,Rain,79.0,0.35,7.2,7.1,0,0.0,1.0,0.5,0.3,2.5,11.51,$74.81,4.0,59.0
NYC-2023-401153,4477-F41,Driver 344,2.6,Verifone,SUV,2023-11-24 05:10:00,2023-11-24 06:09:00,59m,40.797817,-73.950348,40.673334,-74.174018,20.52,Manhattan,New Jersey,4.0,,Credit Card,N,Clear,42.0,0.0,14.0,2.9,1,17.79,1.0,0.5,0.3,2.5,13.75,$128.62,4.0,92.78
NYC-2023-401768,3265-B49,Driver 350,7.2,VTS,Minivan,29/07/2023 19:02,2023-07-29 19:31:00,29m,40.831781,-73.909152,40.759113,-73.981062,8.5,Bronx,Manhattan,1.0,1,Credit Card,N,Clear,74.0,0.0,7.3,5.7,0,0.0,0.0,0.5,0.3,2.5,0.0,$45.92,4.0,42.62
NYC-2023-404378,9354-F40,Driver 444,9.0,vts ,Sedan,02/01/2023 04:48,2023-01-02 05:04:00,16m,40.764362,-73.956269,40.717894,-74.023459,6.1,Manhattan,Manhattan,1.0,,Credit Card,N,Rain,25.0,0.04,7.9,3.4,0,0.0,1.0,0.5,0.3,,4.95,$32.51,3.0,25.76
NYC-2023-404457,3606-B71,Driver 1186,15.1,CMT,Sedan,2023-01-13 08:46:00,2023-01-13 09:01:00,15m,40.761909,-73.935902,40.787239,-73.976049,3.31,Queens,Manhattan,1.0,1,Cash,N,,42.0,0.79,10.0,9.7,0,0.0,2.5,0.5,0.3,,0.0,$21.32,3.0,18.02
NYC-2023-402146,1435-C90,Driver 1775,3.7,CMT,Hybrid,2023-02-13 06:13:00,2023-02-13 06:56:00,43m,40.632438,-73.778289,40.796196,-73.945582,18.97,Queens,Manhattan,4.0,2,Credit Card,N,Clear,45.0,0.0,18.1,4.0,0,0.0,0.0,0.5,0.3,,8.63,$82.19,4.0,72.76
NYC-2023-402165,1642-A96,Driver 617,9.9,VTS,Sedan,2023-07-01 13:51:00,2023-07-01 14:09:00,18m,40.774908,-73.961284,40.776209,-73.851112,8.9,Manhattan,Queens,1.0,,Credit Card,N,Clear,85.0,0.0,24.0,3.7,0,0.0,0.0,0.5,0.3,2.5,8.73,$46.65,5.0,34.62
NYC-2023-401737,2410-C44,Driver 1464,13.4,Verifone,SUV,2023-03-10 10:49:00,2023-03-10 11:35:00,46m,40.759878,-73.983829,40.652349,-73.759494,18.16,Manhattan,Queens,1.0,2,CSH,N,Clear,44.0,0.0,10.5,4.5,0,3.44,0.0,0.5,0.3,,0.0,$77.62,5.0,73.38
NYC-2023-402115,9796-E92,Driver 1273,11.5,vts ,SUV,2023-11-01 21:10:00,2023-11-01 21:33:00,23m,40.815081,-73.949563,40.75196,-73.996247,6.25,Manhattan,Manhattan,,1,Credit Card,N,Rain,35.0,0.74,15.0,5.8,0,0.0,1.0,0.5,0.3,2.5,6.02,$37.09,3.0,26.77
NYC-2023-404072,5177-H75,Driver 1272,9.1,VTS,Sedan,2023-09-17 11:59:00,2023-09-17 12:19:00,20m,0.0,0.0,40.717333,-73.959033,9.4,Manhattan,Brooklyn,2.0,,Credit Card,N,,49.0,0.38,5.7,3.9,0,0.0,0.0,0.5,0.3,2.5,5.06,$34.71,4.0,26.35
NYC-2023-403115,3556-F57,Driver 35,2.6,vts ,Sedan,2023-01-20 05:32:00,2023-01-20 05:51:00,19m,40.777886,-73.971423,40.778053,-73.876521,6.37,Manhattan,Queens,,,Credit Card,N,Clear,32.0,0.0,13.7,3.0,0,2.59,1.0,0.5,0.3,,8.67,$42.97,5.0,29.91
NYC-2023-401365,6881-F14,Driver 658,9.2,VTS,SUV,2023-05-14 18:14:00,2023-05-14 19:09:00,55m,40.752849,-73.967485,40.633084,-73.772862,17.82,Manhattan,Queens,6.0,2,Credit Card,N,Fog,49.0,0.26,5.6,4.8,0,0.0,0.0,0.5,0.3,2.5,17.66,$97.66,3.0,76.7
NYC-2023-404309,9369-B79,Driver 1089,6.0,CMT,Sedan,2023-07-16 09:21:00,2023-07-16 09:54:00,33m,40.647042,-73.777821,40.678375,-73.987645,15.64,Queens,Brooklyn,3.0,,Credit Card,N,Clear,75.0,0.0,4.0,5.0,0,7.34,0.0,0.5,0.3,2.5,7.58,$72.88,4.0,54.66
NYC-2023-404612,9364-A11,Driver 1148,4.5,VTS,Sedan,2023-10-10 12:35:00,2023-10-10 12:52:00,17m,40.702843,-73.944053,40.692245,-74.002832,4.58,Brooklyn,Manhattan,1.0,,Cash,N,Clear,56.0,0.0,8.3,4.8,0,0.0,0.0,0.5,0.3,2.5,0.0,$27.89,5.0,24.59
NYC-2023-404587,2015-E68,Driver 314,1.7,VTS,SUV,2023-01-19 14:01:00,2023-01-19 14:23:00,22m,40.766603,-73.937049,40.702536,-73.981587,6.84,Queens,Brooklyn,1.0,Standard Rate,Cash,N,Clear,51.0,0.0,18.4,3.8,0,0.0,0.0,0.5,0.3,,0.0,$29.91,5.0,29.11
NYC-2023-401185,8234-D29,Driver 486,22.8,VTS,Sedan,15/09/2023 19:21,2023-09-15 20:16:00,55m,40.748493,-73.940975,40.674769,-74.159789,27.29,Queens,New Jersey,5.0,,CRD,N,Rain,54.0,0.02,1.1,8.6,0,15.35,2.5,0.5,0.3,2.5,18.13,$122.19,4.0,82.91
NYC-2023-401465,7838-G74,Driver 1058,6.4,VTS,SUV,2023-10-17 06:37:00,2023-10-17 07:27:00,50m,-73.930945,40.799103,40.641325,-73.785201,17.92,Manhattan,Queens,1.0,2,Cash,N,Clear,46.0,0.0,3.8,3.8,0,0.0,0.0,0.5,0.3,2.5,0.0,$66.52,5.0,63.22
NYC-2023-401663,6104-F78,Driver 1633,11.5,Verifone,Sedan,2023-05-13 14:50:00,2023-05-13 15:50:00,1h 0m,40.74225,-73.967283,40.686839,-74.184141,17.62,Manhattan,New Jersey,2.0,3,CRD,N,Clear,78.0,0.0,0.7,4.8,0,14.71,0.0,0.5,0.3,2.5,27.26,$139.07,5.0,93.8
NYC-2023-403037,2785-E58,Driver 327,15.3,VTS,SUV,2023-09-30 13:54:00,2023-09-30 15:02:00,1h 8m,40.786766,-73.968004,40.650161,-73.786582,20.2,Manhattan,Queens,1.0,2,Cash,N,Clear,49.0,0.0,15.9,5.0,0,0.0,0.0,0.5,0.3,2.5,0.0,$75.52,4.0,72.22
NYC-2023-403887,4436-H86,Driver 1647,14.0,VTS,Minivan,2023-04-10 11:49:00,2023-04-10 12:03:00,14m,40.746343,-73.993414,40.770808,-73.930461,5.4,Manhattan,Queens,1.0,,Cash,N,Clear,64.0,0.0,13.6,3.6,0,0.0,0.0,0.5,0.3,2.5,0.0,$28.41,4.0,25.11
NYC-2023-403251,5887-E11,Driver 948,1.6,CMT,Sedan,2023-02-20 07:10:00,2023-02-20 08:11:00,1h 1m,40.756572,-73.985167,40.642772,-73.785185,18.85,Manhattan,Queens,1.0,,CSH,N,Clear,30.0,0.0,1.8,6.4,1,0.0,2.5,0.5,0.3,,0.0,$74.33,3.0,71.03
